VIET_clutter;Clutter;xxx;;;;;;;;;;;;x
VIET_abacus;Abacus;Abaque;;;;;;;;;;;;x
VIET_abacus_desc;An abacus, used to do various calculations, ranging from simple addition to determining square roots.;Un abaque, utilisé pour effectuer divers calculs, allant de la simple addition à la détermination des racines carrées.;;;;;;;;;;;;x
VIET_ancient_pottery;Exquisite Ancient Pottery;Poterie antique exquise;;;;;;;;;;;;x
VIET_ancient_pottery_desc;An ancient work of fine craftsmanship - a simple yet elegant pot found in an old ruin, now used as decoration.;Une ancienne œuvre d'artisanat d'art - un pot simple mais élégant trouvé dans une vieille ruine, maintenant utilisé comme décoration.;;;;;;;;;;;;x
VIET_calipers;Beautiful Calipers;Beaux étriers;;;;;;;;;;;;x
VIET_calipers_desc;Few calipers are as beautiful as this one, though one has to ask what sort of madman keeps a beautiful caliper around as a decoration.;Peu d'étriers sont aussi beaux que celui-ci, mais il faut se demander quel genre de fou conserve un bel étrier comme décoration.;;;;;;;;;;;;x
VIET_magnifying_glass;Magnifying Glass;Loupe Magnifique;;;;;;;;;;;;x
VIET_magnifying_glass_desc;A finely made magnifying glass that supposedly helps one read things better.;Une magnifique loupe finement réalisée qui aiderait soi-disant à mieux lire les choses.;;;;;;;;;;;;x
VIET_hourglass;Hourglass;Sablier;;;;;;;;;;;;x
VIET_hourglass_desc;A lovely hourglass. Used to keep time, or just to stare at as the sand tumbles down from one end to another.;Un charmant sablier. Utilisé pour garder le temps, ou simplement pour regarder fixement le sable qui tombe d'un bout à l'autre.;;;;;;;;;;;;x
VIET_nutcracker;Nutcracker;Casse Noix;;;;;;;;;;;;x
VIET_nutcracker_desc;Used to crack nuts. This one in particular is a lovely one, skillfully made.;Utilisé pour casser des noix. Celui-ci en particulier est particulièrement beau, habilement réalisé.;;;;;;;;;;;;x
VIET_oblivion_dream_book;Dreams of Another World;Rêves d'un autre monde;;;;;;;;;;;;x
VIET_oblivion_dream_book_desc;This scroll recounts a dream [From.OriginalOwner.GetTitledName] had where [From.OriginalOwner.GetSheHe] helped a long-lost Prince and his allies defend their home and Empire from the hordes of hell led by [From.OriginalOwner.Religion.GetRandomEvilGodName]!;Ce parchemin raconte un rêve de [From.OriginalOwner.GetTitledName] où [From.OriginalOwner.GetSheHe] a aidé un prince perdu depuis longtemps et ses alliés à défendre leur maison et leur Empire des hordes de l'enfer dirigées par [From.OriginalOwner.Religion.GetRandomEvilGodName]!;;;;;;;;;;;;x
VIET_star_chart;Star Chart;Carte d'étoile;;;;;;;;;;;;x
VIET_star_chart_desc;A piece of parchment depicting the positions of various celestial bodies.;Un morceau de parchemin décrivant les positions de divers corps célestes.;;;;;;;;;;;;x
VIET_ostracon;Ancient Ostracon;xxxxx;;;;;;;;;;;;x
VIET_ostracon_desc;A shard of pottery of stone with an ancient inscription on it.;xxxxx;;;;;;;;;;;;x
VIET_nok_terracotta_figure;African Terracotta Figure;xxxxx;;;;;;;;;;;;x
VIET_nok_terracotta_figure_desc;A small clay statue found in West Africa, probably made by some long-lost ancient peoples.;xxxxx;;;;;;;;;;;;x
VIET_cuneiform_tablet;Cuneiform Tablet;xxxxx;;;;;;;;;;;;x
VIET_cuneiform_tablet_desc;A cuneiform tablet made by someone from one of the many ancient civilizations of the Middle East.;xxxxx;;;;;;;;;;;;x
VIET_wolf_pelt;Wolf Pelt;xxxxx;;;;;;;;;;;;x
VIET_wolf_pelt_desc;A wolf pelt used as a charming house decoration, or, alternatively, as a body warmer.;xxxxx;;;;;;;;;;;;x
VIET_silverware_set;Extravagant Silverware Set;xxxxx;;;;;;;;;;;;x
VIET_silverware_set_desc;A set of silverware that shows how elegant, fashionable, and snobby its owner is.;xxxxx;;;;;;;;;;;;x
VIET_exotic_quill_pen;Exotic Quill Pen;xxxxx;;;;;;;;;;;;x
VIET_exotic_quill_pen_desc;This quill pen is made using the feather of a bird from a faraway, exotic realm. Rumor has it that bird is now extinct.;xxxxx;;;;;;;;;;;;x
VIET_goblet;Personal Goblet of [From.OriginalOwner.GetTitledName];xxxxx;;;;;;;;;;;;x
VIET_goblet_desc;It's better to drink from a cup you trust.;xxxxx;;;;;;;;;;;;x
VIET_decorative_lute;Decorative Lute;xxxxx;;;;;;;;;;;;x
VIET_decorative_lute_desc;An old lute that is no longer used to play music. Because it looks quite nice, however, it has found a second life as house decor.;xxxxx;;;;;;;;;;;;x
VIET_beautiful_pitcher;Beautiful Pitcher;xxxxx;;;;;;;;;;;;x
VIET_beautiful_pitcher_desc;A pitcher that can not only pour liquids like water or alcohol into a goblet, but one that looks stunningly beautiful.;xxxxx;;;;;;;;;;;;x
VIET_secure_chest;Very Secure Chest;xxxxx;;;;;;;;;;;;x
VIET_secure_chest_desc;The lock on this chest is extremely difficult to break or lockpick. Its owner can rest assured whatever they keep in it is safe.;xxxxx;;;;;;;;;;;;x
xxxxxx;xxxxx;xxxxx;;;;;;;;;;;;x
